State,County,State/County FIPS Code,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
Illinois ,Henry ,17073,"16,601.70","18,135.40","13,350.60","21,030.30","20,623.40",0,"17,238.60","21,615.10","20,839.80","17,199.90","13,193.80","20,660.40",0,"23,254.10","17,794.20","10,956.30","12,094.80","14,892.20","17,815.30","21,005.70","22,983.30"
Illinois ,Iroquois ,17075,"21,778.20","22,802.10","14,977.70","23,523.10","21,914.80",0,"19,619.50","22,292.70","23,321.50","19,492.00","15,209.20","27,272.20",0,"23,757.60","27,042.80","12,822.20","13,277.70","17,937.70","17,757.90","23,050.00","24,118.00"
Illinois ,Jackson ,17077,"21,540.50","25,495.90","17,111.60","23,108.70","23,876.60","1,413.70","21,295.90","23,158.60","24,701.00","19,517.70","15,385.30","27,569.90","25,250.00","29,941.50","40,692.50","13,811.60","13,593.10","18,796.20","21,234.10","21,500.30","27,109.80"
Illinois ,Jasper ,17079,"24,023.40","22,801.10","15,646.00","28,279.30","24,021.60",0,"19,764.30","24,861.70","25,341.10","22,410.00","13,858.50","44,049.10",0,"29,706.80",0,"13,315.00","14,217.60","20,335.90","19,568.10","32,132.30","28,232.30"
Illinois ,Jefferson ,17081,"22,976.90","23,090.20","14,400.80","27,052.50","23,997.10","16,893.00","20,040.20","23,312.70","22,734.10","20,366.90","15,426.00","22,958.30",0,"25,929.00","21,996.80","12,356.60","12,930.50","17,942.70","17,636.80","24,773.20","24,794.70"
Illinois ,Jersey ,17083,"17,796.70","18,946.30","14,840.80","21,719.40","23,319.10",0,"19,114.00","24,209.30","22,319.30","16,474.10","13,124.00","19,192.10",0,"24,134.50","26,639.80","11,551.20","11,300.30","15,428.20","17,024.40","21,534.70","21,793.70"
Illinois ,Jo Daviess ,17085,"16,843.70","18,012.50","14,567.30","21,407.60","22,026.20",0,"17,793.30","23,102.20","25,039.80","16,288.20","13,200.10","31,259.20",0,"23,364.40","25,189.50","11,509.30","12,576.60","16,004.50","17,300.30","19,596.80","21,013.80"
Illinois ,Johnson ,17087,"13,114.10","20,900.00","12,323.50","18,902.90","22,514.30",0,"21,964.90","18,519.30","23,419.30","20,113.00","13,965.90","19,801.10",0,"24,659.40",0,"11,248.80","11,425.10","14,902.90","15,438.40","25,421.20","24,089.20"
Illinois ,Kane ,17089,"29,529.10","26,611.30","17,287.60","23,636.30","26,418.10","9,855.60","20,080.60","27,011.90","28,955.00","22,885.80","16,611.10","39,999.40","19,316.10","31,948.20","33,969.50","13,725.10","14,769.50","20,513.10","21,326.70","29,146.30","32,329.90"
Illinois ,Kankakee ,17091,"24,559.90","24,490.20","16,804.80","24,831.30","27,449.70","8,919.40","21,223.40","25,196.00","26,994.10","22,768.00","17,235.10","25,509.30","16,057.30","30,170.70","25,713.30","14,528.20","15,072.70","20,000.10","20,365.10","24,718.30","33,455.70"
